 1.00000000e-09  2.41422835e+01  1.00000000e-09 -2.11078835e-01  1.00000000e-09 -2.11078835e-01  1.00000000e-09 -2.11078835e-01  1.00000000e-09 -2.11078835e-01 
 2.00000000e-09  2.41514660e+01  2.00000000e-09 -4.19861673e-01  2.00000000e-09 -4.19861673e-01  2.00000000e-09 -4.19861673e-01  2.00000000e-09 -4.19861673e-01 
 4.00000000e-09  2.41696311e+01  4.00000000e-09 -8.32885142e-01  4.00000000e-09 -8.32885142e-01  4.00000000e-09 -8.32885142e-01  4.00000000e-09 -8.32885142e-01 
 8.00000000e-09  2.42047879e+01  8.00000000e-09 -1.63226349e+00  8.00000000e-09 -1.63226349e+00  8.00000000e-09 -1.63226349e+00  8.00000000e-09 -1.63226349e+00 
 1.60000000e-08  2.42706543e+01  1.60000000e-08 -3.12994668e+00  1.60000000e-08 -3.12994668e+00  1.60000000e-08 -3.12994668e+00  1.60000000e-08 -3.12994668e+00 
 3.20000000e-08  2.43863908e+01  3.20000000e-08 -5.76176230e+00  3.20000000e-08 -5.76176230e+00  3.20000000e-08 -5.76176230e+00  3.20000000e-08 -5.76176230e+00 
 6.40000000e-08  2.45658130e+01  6.40000000e-08 -9.84242217e+00  6.40000000e-08 -9.84242217e+00  6.40000000e-08 -9.84242217e+00  6.40000000e-08 -9.84242217e+00 
 1.00000000e-07  2.47044533e+01  1.00000000e-07 -1.29965793e+01  1.00000000e-07 -1.29965793e+01  1.00000000e-07 -1.29965793e+01  1.00000000e-07 -1.29965793e+01 
 1.06400000e-07  2.47228864e+01  1.06400000e-07 -1.34160887e+01  1.06400000e-07 -1.34160887e+01  1.06400000e-07 -1.34160887e+01  1.06400000e-07 -1.34160887e+01 
 1.19200000e-07  2.47573074e+01  1.19200000e-07 -1.41995363e+01  1.19200000e-07 -1.41995363e+01  1.19200000e-07 -1.41995363e+01  1.19200000e-07 -1.41995363e+01 
 1.44800000e-07  2.48132837e+01  1.44800000e-07 -1.54740311e+01  1.44800000e-07 -1.54740311e+01  1.44800000e-07 -1.54740311e+01  1.44800000e-07 -1.54740311e+01 
 1.96000000e-07  2.48878702e+01  1.96000000e-07 -1.71737870e+01  1.96000000e-07 -1.71737870e+01  1.96000000e-07 -1.71737870e+01  1.96000000e-07 -1.71737870e+01 
 2.96000000e-07  2.49537589e+01  2.96000000e-07 -1.86802611e+01  2.96000000e-07 -1.86802611e+01  2.96000000e-07 -1.86802611e+01  2.96000000e-07 -1.86802611e+01 
 3.96000000e-07  2.49706088e+01  3.96000000e-07 -1.90722170e+01  3.96000000e-07 -1.90722170e+01  3.96000000e-07 -1.90722170e+01  3.96000000e-07 -1.90722170e+01 
 4.96000000e-07  2.49731504e+01  4.96000000e-07 -1.91389854e+01  4.96000000e-07 -1.91389854e+01  4.96000000e-07 -1.91389854e+01  4.96000000e-07 -1.91389854e+01 
 5.96000000e-07  2.49715230e+01  5.96000000e-07 -1.91110029e+01  5.96000000e-07 -1.91110029e+01  5.96000000e-07 -1.91110029e+01  5.96000000e-07 -1.91110029e+01 
 6.96000000e-07  2.49686866e+01  6.96000000e-07 -1.90555429e+01  6.96000000e-07 -1.90555429e+01  6.96000000e-07 -1.90555429e+01  6.96000000e-07 -1.90555429e+01 
 7.96000000e-07  2.49655053e+01  7.96000000e-07 -1.89922442e+01  7.96000000e-07 -1.89922442e+01  7.96000000e-07 -1.89922442e+01  7.96000000e-07 -1.89922442e+01 
 8.96000000e-07  2.49622314e+01  8.96000000e-07 -1.89268396e+01  8.96000000e-07 -1.89268396e+01  8.96000000e-07 -1.89268396e+01  8.96000000e-07 -1.89268396e+01 
 9.96000000e-07  2.49589384e+01  9.96000000e-07 -1.88610021e+01  9.96000000e-07 -1.88610021e+01  9.96000000e-07 -1.88610021e+01  9.96000000e-07 -1.88610021e+01 
 1.09600000e-06  2.49556478e+01  1.09600000e-06 -1.87952193e+01  1.09600000e-06 -1.87952193e+01  1.09600000e-06 -1.87952193e+01  1.09600000e-06 -1.87952193e+01 
 1.19600000e-06  2.49523658e+01  1.19600000e-06 -1.87296329e+01  1.19600000e-06 -1.87296329e+01  1.19600000e-06 -1.87296329e+01  1.19600000e-06 -1.87296329e+01 
 1.29600000e-06  2.49490943e+01  1.29600000e-06 -1.86642835e+01  1.29600000e-06 -1.86642835e+01  1.29600000e-06 -1.86642835e+01  1.29600000e-06 -1.86642835e+01 
 1.39600000e-06  2.49458337e+01  1.39600000e-06 -1.85991823e+01  1.39600000e-06 -1.85991823e+01  1.39600000e-06 -1.85991823e+01  1.39600000e-06 -1.85991823e+01 
 1.49600000e-06  2.49425841e+01  1.49600000e-06 -1.85343320e+01  1.49600000e-06 -1.85343320e+01  1.49600000e-06 -1.85343320e+01  1.49600000e-06 -1.85343320e+01 
