 1.00000000e-08  2.41872039e+01  1.00000000e-08  2.52000000e+01  1.00000000e-08  2.42792762e+01 
 1.53667569e-08  2.42313937e+01  1.53667569e-08  2.52000000e+01  1.53667569e-08  2.43194488e+01 
 2.61002706e-08  2.43148429e+01  2.61002706e-08  2.52000000e+01  2.61002706e-08  2.43953117e+01 
 4.75672980e-08  2.44552717e+01  4.75672980e-08  2.52000000e+01  4.75672980e-08  2.45229743e+01 
 9.05013529e-08  2.46554620e+01  9.05013529e-08  2.52000000e+01  9.05013529e-08  2.47049654e+01 
 1.76369463e-07  2.48622475e+01  1.76369463e-07  2.52000000e+01  1.76369463e-07  2.48929522e+01 
 2.74355490e-07  2.49413344e+01  2.74355490e-07  2.52000000e+01  2.74355490e-07  2.49648494e+01 
 4.10723997e-07  2.49670995e+01  4.10723997e-07  2.52000000e+01  4.10723997e-07  2.49882723e+01 
 5.78578495e-07  2.49663568e+01  5.78578495e-07  2.52000000e+01  5.78578495e-07  2.49875971e+01 
 8.73819143e-07  2.49567458e+01  8.73819143e-07  2.52000000e+01  8.73819143e-07  2.49788598e+01 
 1.00000000e-06  2.49525181e+01  1.00000000e-06  2.52000000e+01  1.00000000e-06  2.49750165e+01 
 1.05069941e-06  2.49508402e+01  1.05069941e-06  2.52000000e+01  1.05069941e-06  2.49734911e+01 
 1.15209823e-06  2.49474932e+01  1.15209823e-06  2.52000000e+01  1.15209823e-06  2.49704484e+01 
 1.35489588e-06  2.49408453e+01  1.35489588e-06  2.52000000e+01  1.35489588e-06  2.49644048e+01 
 1.76049117e-06  2.49277090e+01  1.76049117e-06  2.52000000e+01  1.76049117e-06  2.49524627e+01 
 2.57168175e-06  2.49020470e+01  2.57168175e-06  2.52000000e+01  2.57168175e-06  2.49291336e+01 
 3.57168175e-06  2.48715030e+01  3.57168175e-06  2.52000000e+01  3.57168175e-06  2.49013664e+01 
 4.57168175e-06  2.48421222e+01  4.57168175e-06  2.52000000e+01  4.57168175e-06  2.48746566e+01 
 5.57168175e-06  2.48138604e+01  5.57168175e-06  2.52000000e+01  5.57168175e-06  2.48489640e+01 
 6.57168175e-06  2.47866747e+01  6.57168175e-06  2.52000000e+01  6.57168175e-06  2.48242498e+01 
 7.57168175e-06  2.47605244e+01  7.57168175e-06  2.52000000e+01  7.57168175e-06  2.48004768e+01 
 8.57168175e-06  2.47353700e+01  8.57168175e-06  2.52000000e+01  8.57168175e-06  2.47776091e+01 
 9.57168175e-06  2.47111735e+01  9.57168175e-06  2.52000000e+01  9.57168175e-06  2.47556123e+01 
 1.05716817e-05  2.46878985e+01  1.05716817e-05  2.52000000e+01  1.05716817e-05  2.47344532e+01 
 1.15716817e-05  2.46655098e+01  1.15716817e-05  2.52000000e+01  1.15716817e-05  2.47140999e+01 
 1.25716817e-05  2.46439738e+01  1.25716817e-05  2.52000000e+01  1.25716817e-05  2.46945216e+01 
 1.35716817e-05  2.46232579e+01  1.35716817e-05  2.52000000e+01  1.35716817e-05  2.46756890e+01 
 1.45716817e-05  2.46033309e+01  1.45716817e-05  2.52000000e+01  1.45716817e-05  2.46575736e+01 
 1.55716817e-05  2.45841628e+01  1.55716817e-05  2.52000000e+01  1.55716817e-05  2.46401480e+01 
 1.65716817e-05  2.45657247e+01  1.65716817e-05  2.52000000e+01  1.65716817e-05  2.46233861e+01 
 1.75716817e-05  2.45479887e+01  1.75716817e-05  2.52000000e+01  1.75716817e-05  2.46072625e+01 
 1.85716817e-05  2.45309282e+01  1.85716817e-05  2.52000000e+01  1.85716817e-05  2.45917529e+01 
 1.95716817e-05  2.45145174e+01  1.95716817e-05  2.52000000e+01  1.95716817e-05  2.45768340e+01 
 2.05716817e-05  2.44987315e+01  2.05716817e-05  2.52000000e+01  2.05716817e-05  2.45624832e+01 
 2.15716817e-05  2.44835468e+01  2.15716817e-05  2.52000000e+01  2.15716817e-05  2.45486789e+01 
 2.25716817e-05  2.44689404e+01  2.25716817e-05  2.52000000e+01  2.25716817e-05  2.45354003e+01 
 2.35716817e-05  2.44548902e+01  2.35716817e-05  2.52000000e+01  2.35716817e-05  2.45226274e+01 
 2.45716817e-05  2.44413751e+01  2.45716817e-05  2.52000000e+01  2.45716817e-05  2.45103410e+01 
 2.55716817e-05  2.44283747e+01  2.55716817e-05  2.52000000e+01  2.55716817e-05  2.44985224e+01 
 2.65716817e-05  2.44158693e+01  2.65716817e-05  2.52000000e+01  2.65716817e-05  2.44871539e+01 
 2.75716817e-05  2.44038402e+01  2.75716817e-05  2.52000000e+01  2.75716817e-05  2.44762184e+01 
 2.85716817e-05  2.43922692e+01  2.85716817e-05  2.52000000e+01  2.85716817e-05  2.44656993e+01 
 2.95716817e-05  2.43811389e+01  2.95716817e-05  2.52000000e+01  2.95716817e-05  2.44555808e+01 
 3.05716817e-05  2.43704324e+01  3.05716817e-05  2.52000000e+01  3.05716817e-05  2.44458476e+01 
 3.15716817e-05  2.43601337e+01  3.15716817e-05  2.52000000e+01  3.15716817e-05  2.44364851e+01 
 3.25716817e-05  2.43502271e+01  3.25716817e-05  2.52000000e+01  3.25716817e-05  2.44274792e+01 
 3.35716817e-05  2.43406978e+01  3.35716817e-05  2.52000000e+01  3.35716817e-05  2.44188162e+01 
 3.45716817e-05  2.43315315e+01  3.45716817e-05  2.52000000e+01  3.45716817e-05  2.44104831e+01 
 3.55716817e-05  2.43227142e+01  3.55716817e-05  2.52000000e+01  3.55716817e-05  2.44024674e+01 
 3.65716817e-05  2.43142326e+01  3.65716817e-05  2.52000000e+01  3.65716817e-05  2.43947569e+01 
 3.75716817e-05  2.43060741e+01  3.75716817e-05  2.52000000e+01  3.75716817e-05  2.43873401e+01 
 3.85716817e-05  2.42982263e+01  3.85716817e-05  2.52000000e+01  3.85716817e-05  2.43802057e+01 
 3.95716817e-05  2.42906773e+01  3.95716817e-05  2.52000000e+01  3.95716817e-05  2.43733430e+01 
 4.05716817e-05  2.42834159e+01  4.05716817e-05  2.52000000e+01  4.05716817e-05  2.43667417e+01 
 4.15716817e-05  2.42764309e+01  4.15716817e-05  2.52000000e+01  4.15716817e-05  2.43603918e+01 
 4.25716817e-05  2.42697120e+01  4.25716817e-05  2.52000000e+01  4.25716817e-05  2.43542836e+01 
 4.35716817e-05  2.42632489e+01  4.35716817e-05  2.52000000e+01  4.35716817e-05  2.43484081e+01 
 4.45716817e-05  2.42570320e+01  4.45716817e-05  2.52000000e+01  4.45716817e-05  2.43427564e+01 
 4.55716817e-05  2.42510518e+01  4.55716817e-05  2.52000000e+01  4.55716817e-05  2.43373198e+01 
 4.65716817e-05  2.42452994e+01  4.65716817e-05  2.52000000e+01  4.65716817e-05  2.43320904e+01 
 4.75716817e-05  2.42397660e+01  4.75716817e-05  2.52000000e+01  4.75716817e-05  2.43270600e+01 
 4.85716817e-05  2.42344434e+01  4.85716817e-05  2.52000000e+01  4.85716817e-05  2.43222213e+01 
 4.95716817e-05  2.42293234e+01  4.95716817e-05  2.52000000e+01  4.95716817e-05  2.43175668e+01 
 5.05716817e-05  2.42243985e+01  5.05716817e-05  2.52000000e+01  5.05716817e-05  2.43130895e+01 
 5.15716817e-05  2.42196611e+01  5.15716817e-05  2.52000000e+01  5.15716817e-05  2.43087828e+01 
 5.25716817e-05  2.42151041e+01  5.25716817e-05  2.52000000e+01  5.25716817e-05  2.43046401e+01 
 5.35716817e-05  2.42107206e+01  5.35716817e-05  2.52000000e+01  5.35716817e-05  2.43006551e+01 
 5.45716817e-05  2.42065041e+01  5.45716817e-05  2.52000000e+01  5.45716817e-05  2.42968219e+01 
 5.55716817e-05  2.42024482e+01  5.55716817e-05  2.52000000e+01  5.55716817e-05  2.42931347e+01 
 5.65716817e-05  2.41985467e+01  5.65716817e-05  2.52000000e+01  5.65716817e-05  2.42895879e+01 
 5.75716817e-05  2.41947938e+01  5.75716817e-05  2.52000000e+01  5.75716817e-05  2.42861762e+01 
 5.85716817e-05  2.41911838e+01  5.85716817e-05  2.52000000e+01  5.85716817e-05  2.42828944e+01 
 5.95716817e-05  2.41877113e+01  5.95716817e-05  2.52000000e+01  5.95716817e-05  2.42797375e+01 
 6.05716817e-05  2.41843710e+01  6.05716817e-05  2.52000000e+01  6.05716817e-05  2.42767009e+01 
 6.15716817e-05  2.41811580e+01  6.15716817e-05  2.52000000e+01  6.15716817e-05  2.42737800e+01 
 6.25716817e-05  2.41780673e+01  6.25716817e-05  2.52000000e+01  6.25716817e-05  2.42709702e+01 
 6.35716817e-05  2.41750943e+01  6.35716817e-05  2.52000000e+01  6.35716817e-05  2.42682675e+01 
 6.45716817e-05  2.41722345e+01  6.45716817e-05  2.52000000e+01  6.45716817e-05  2.42656677e+01 
 6.55716817e-05  2.41694836e+01  6.55716817e-05  2.52000000e+01  6.55716817e-05  2.42631669e+01 
 6.65716817e-05  2.41668375e+01  6.65716817e-05  2.52000000e+01  6.65716817e-05  2.42607614e+01 
